iter	RMSE
0	7071.962569
1	6946.843863
2	6835.540453
3	6740.37193
4	6602.498135
5	6507.100735
6	6416.017188
7	6305.273983
8	6195.631688
9	6115.7171
10	6012.378994
11	5906.832812
12	5833.107577
13	5736.355723
14	5652.956329
15	5552.071809
16	5464.629835
17	5391.058626
18	5308.627991
19	5225.887797
20	5126.137029
21	5054.67008
22	4987.028465
23	4922.380535
24	4849.009458
25	4768.289923
26	4701.635029
27	4625.342811
28	4569.782218
29	4490.023068
30	4416.170092
31	4349.012452
32	4286.594429
33	4224.84505
34	4160.18731
35	4087.955025
36	4032.753212
37	3982.753283
38	3924.73983
39	3860.624997
40	3810.204085
41	3758.100813
42	3697.85829
43	3653.099998
44	3608.541668
45	3560.765762
46	3507.139144
47	3460.75442
48	3416.591313
49	3373.429652
50	3332.324196
51	3288.756771
52	3249.032338
53	3220.907205
54	3178.433489
55	3149.498589
56	3109.008301
57	3073.566051
58	3037.646278
59	3010.666917
60	2975.273796
61	2940.53094
62	2898.741013
63	2868.363201
64	2835.71065
65	2806.275568
66	2775.37462
67	2745.960753
68	2719.214297
69	2685.108071
70	2660.495622
71	2636.518868
72	2615.620454
73	2585.107324
74	2558.238652
75	2530.036489
76	2501.776099
77	2477.110926
78	2449.817473
79	2424.256911
80	2402.436083
81	2383.144896
82	2361.854087
83	2343.039484
84	2320.700011
85	2299.308994
86	2276.383921
87	2256.339693
88	2232.952334
89	2210.568793
90	2194.016569
91	2175.488356
92	2156.225097
93	2142.186758
94	2125.317253
95	2110.516119
96	2093.894531
97	2079.354304
98	2070.109297
99	2054.825399
100	2040.385389
101	2026.241078
102	2009.124053
103	1994.151724
104	1978.740313
105	1964.609723
106	1951.670124
107	1939.423527
108	1927.387781
109	1914.003307
110	1903.371263
111	1890.061378
112	1878.955689
113	1866.868857
114	1856.308696
115	1845.015691
116	1833.945565
117	1821.094622
118	1810.170805
119	1800.507128
120	1788.169123
121	1778.650172
122	1765.742924
123	1754.349418
124	1739.976102
125	1732.171221
126	1721.327816
127	1709.708999
128	1699.826552
129	1688.835566
130	1678.880791
131	1669.209283
132	1659.167143
133	1650.605668
134	1641.98304
135	1635.473384
136	1625.705462
137	1614.404469
138	1605.812552
139	1597.628434
140	1588.006967
141	1580.54174
142	1574.028278
143	1566.277543
144	1560.596354
145	1553.329909
146	1544.795873
147	1538.525198
148	1531.863847
149	1523.689151
150	1515.184824
151	1508.914256
152	1504.020499
153	1498.012938
154	1490.802653
155	1483.620499
156	1476.149006
157	1469.592349
158	1462.116255
159	1457.494928
160	1448.815133
161	1444.241818
162	1434.874835
163	1426.90359
164	1419.608234
165	1412.387308
166	1407.73531
167	1401.354796
168	1398.817218
169	1389.321654
170	1385.814177
171	1380.348061
172	1376.255037
173	1370.878761
174	1365.41389
175	1357.967486
176	1353.219106
177	1347.930303
178	1344.458444
179	1341.489863
180	1338.155758
181	1330.968688
182	1328.147678
183	1324.245122
184	1317.83419
185	1312.903956
186	1308.206347
187	1300.847598
188	1295.840273
189	1293.188613
190	1287.741974
191	1282.443231
192	1279.374987
193	1274.466108
194	1271.39141
195	1268.585912
196	1261.671247
197	1258.303141
198	1256.261805
199	1249.63155
200	1246.564646
201	1242.853745
202	1240.966819
203	1237.271183
204	1231.601551
205	1224.898743
206	1220.582714
207	1217.31485
208	1215.249971
209	1209.684272
210	1205.419403
211	1202.686224
212	1197.049163
213	1195.102233
214	1193.425951
215	1189.407177
216	1182.505899
217	1180.828219
218	1177.994858
219	1175.906927
220	1168.981655
221	1167.279411
222	1164.089517
223	1160.708244
224	1156.441372
225	1151.731433
226	1148.021859
227	1146.495613
228	1144.706892
229	1142.141144
230	1139.675461
231	1137.318452
232	1131.086758
233	1126.653257
234	1124.944556
235	1122.658493
236	1119.556585
237	1114.582351
238	1108.89228
239	1107.012876
240	1105.488048
241	1103.228338
242	1099.768669
243	1097.803619
244	1096.36269
245	1094.204523
246	1092.587407
247	1090.991649
248	1085.077961
249	1081.992763
250	1079.70074
251	1076.9846
252	1071.858985
253	1069.024696
254	1063.207928
255	1058.721283
256	1057.345946
257	1055.724305
258	1054.130893
259	1052.611483
260	1050.733397
261	1049.238074
262	1044.305217
263	1041.509442
264	1040.092635
265	1038.792796
266	1037.407257
267	1036.101945
268	1034.886903
269	1033.511563
270	1032.274172
271	1030.999215
272	1029.770271
273	1024.912365
274	1023.701772
275	1019.940477
276	1014.758919
277	1013.631416
278	1008.814088
279	1007.600632
280	1003.701314
281	999.2967268
282	997.2266907
283	992.9097878
284	991.7540917
285	989.1565756
286	987.9897383
287	986.8358399
288	985.7507852
289	984.6582933
290	983.5484425
291	982.474259
292	981.4003393
293	979.6668043
294	978.6118892
295	977.4562079
296	975.0181318
297	972.5410188
298	967.933375
299	966.9516655
300	965.7375769
301	964.6348216
302	962.1060256
303	959.9073738
304	954.8256423
305	953.1571848
306	948.6080035
307	947.6788832
308	946.7497245
309	942.2115784
310	937.6454872
311	936.5912895
312	934.040073
313	931.9089216
314	930.9740553
315	930.0908807
316	926.055354
317	925.1509193
318	924.2870496
319	923.478366
320	921.809976
321	918.6816218
322	917.8446395
323	916.8810748
324	913.1059549
325	909.1628563
326	904.663353
327	903.6315016
328	901.6532556
329	900.8125854
330	896.867253
331	893.3555066
332	890.5838605
333	889.6532448
334	888.8691123
335	884.8319299
336	881.4667886
337	879.0272748
338	876.959912
339	876.202391
340	872.4854611
341	868.5875031
342	867.8154396
343	866.1634437
344	864.249194
345	863.4134968
346	862.6072065
347	861.4685835
348	859.5311795
349	858.1769262
350	856.6064405
351	855.9495189
352	855.1405028
353	852.7523869
354	851.6156551
355	850.9001632
356	850.2718715
357	848.4057103
358	846.5837166
359	845.6402059
360	844.9354911
361	844.2719186
362	843.5658257
363	840.5938533
364	839.6677861
365	838.6615097
366	837.9329269
367	836.1407676
368	833.2536475
369	832.3796594
370	830.6220008
371	827.0081221
372	826.3320524
373	824.5605863
374	823.8949197
375	822.9046788
376	822.283274
377	821.348715
378	820.2092434
379	817.918614
380	814.8562046
381	814.2489008
382	812.9740065
383	811.3395587
384	810.4006079
385	809.7641952
386	808.14068
387	807.5107351
388	805.8357327
389	805.1231299
390	804.542339
391	803.9656528
392	803.2407591
393	801.6900521
394	799.35286
395	798.7087302
396	797.4459085
397	794.836046
398	794.2004247
399	792.8830838
400	789.199463
401	788.6458132
402	787.8005623
403	786.2879203
404	785.4761381
405	784.2878052
406	783.7435199
407	783.2044588
408	782.594866
409	780.614434
410	779.1520984
411	776.6789774
412	773.3907055
413	771.4950561
414	770.9351843
415	770.3735205
416	767.1777758
417	766.5914562
418	765.513037
419	763.4098344
420	762.9392439
421	762.4253641
422	761.6694824
423	760.948506
424	760.0967099
425	757.1022231
426	756.5637937
427	756.0297949
428	755.5075952
429	754.7080996
430	754.1837729
431	753.6963242
432	753.1795067
433	752.3581247
434	751.5505297
435	749.4918328
436	748.7313206
437	748.1957463
438	747.5076721
439	747.0308487
440	746.573026
441	745.2060212
442	744.138853
443	743.425606
444	742.4136672
445	741.2020709
446	740.2141332
447	739.712579
448	739.2539979
449	738.5452773
450	737.8466353
451	737.3324379
452	735.1689673
453	733.7004944
454	733.2129198
455	732.7852642
456	730.3144545
457	729.8498265
458	729.0422794
459	728.3358315
460	727.8453803
461	727.3601173
462	726.3997944
463	725.370088
464	724.8900907
465	724.2050141
466	723.1719141
467	722.7415782
468	722.2686013
469	721.7994599
470	720.6349984
471	720.0575904
472	719.6052819
473	718.2482902
474	716.0581148
475	715.6397491
476	714.8715933
477	713.1526862
478	712.7080523
479	711.8628418
480	711.4971864
481	709.6092715
482	709.2465835
483	708.831619
484	707.8587591
485	706.9039865
486	706.4662275
487	703.9487344
488	702.0760387
489	701.0591505
490	699.3970041
491	697.2349643
492	695.6072066
493	693.5095197
494	692.7802432
495	691.9240604
496	691.2800285
497	690.8568617
498	690.0302189
499	688.3615516
500	687.9105644
501	686.7174504
502	686.2882667
503	683.049643
504	682.3359313
505	681.5472751
506	681.1805983
507	680.4467982
508	679.8181325
509	679.4110587
510	679.0058553
511	677.1651837
512	676.7333027
513	676.332044
514	674.074317
515	672.561925
516	671.9368915
517	671.5695115
518	670.8718933
519	670.4793901
520	669.8718405
521	667.0031522
522	666.2951074
523	665.8947659
524	665.5282859
525	664.6709353
526	663.8257236
527	662.9891816
528	661.7433598
529	659.7447989
530	658.9892205
531	658.6010761
532	658.2046791
533	657.8625695
534	655.7130207
535	654.8481376
536	654.4673638
537	653.7593013
538	653.4034765
539	652.7010561
540	650.3167668
541	648.472441
542	647.9803762
543	646.9351783
544	646.4295637
545	644.4957126
546	644.1553849
547	642.3802985
548	641.8201582
549	641.2181137
550	640.8973338
551	639.4430209
552	639.0636762
553	638.7375372
554	638.4135413
555	638.0212569
556	637.3190908
557	636.957834
558	636.6209586
559	635.6149058
560	633.8672586
561	633.3402645
562	632.9426827
563	632.3684186
564	631.1051738
565	630.4631205
566	629.8830583
567	629.5595919
568	627.012018
569	626.6713815
570	626.3341717
571	625.3322222
572	624.5833385
573	624.2182972
574	621.4871582
575	620.9111412
576	618.2216828
577	617.7095852
578	617.1572801
579	616.8363402
580	616.2775432
581	615.6484112
582	614.3260534
583	614.0160188
584	613.7009744
585	612.5875631
586	612.2449831
587	611.8967835
588	611.1202603
589	610.5046747
590	608.710052
591	608.3724052
592	606.9645854
593	606.4423005
594	605.6512398
595	605.3489535
596	604.9870015
597	604.4494068
598	604.1177543
599	603.7792784
600	603.0903885
601	602.7620666
602	602.4247577
603	602.0462438
604	601.4479308
605	600.0787967
606	599.7516557
607	599.426447
608	598.761167
609	598.4102772
610	598.0920071
611	597.7701313
612	597.1532195
613	596.740727
614	596.4635549
615	595.9568622
616	595.6187895
617	594.7556338
618	594.30611
619	593.9796269
620	593.3005643
621	592.9820163
622	592.4648335
623	591.2409897
624	589.4610177
625	588.9657205
626	588.4203367
627	587.5404552
628	587.1967622
629	586.8833108
630	586.3890986
631	585.1066359
632	584.799818
633	584.4817489
634	583.5753466
635	581.5566537
636	579.7767944
637	579.458891
638	578.6342086
639	576.3446334
640	575.8765954
641	575.5679083
642	575.3017643
643	574.9602412
644	573.4747625
645	573.1702113
646	572.8687896
647	572.5046763
648	572.0314053
649	570.6768267
650	570.3778396
651	570.137787
652	569.7224492
653	569.4670375
654	569.1549369
655	568.8389454
656	568.5985106
657	568.3183209
658	566.5394655
659	566.2264779
660	565.9700433
661	563.9552755
662	563.6460519
663	563.2287483
664	562.6250487
665	562.0260726
666	560.9066819
667	560.4851481
668	559.406781
669	559.1185205
670	558.7504862
671	557.1481062
672	556.2775363
673	555.9837876
674	554.5515098
675	554.1113646
676	553.699756
677	553.4073876
678	553.1313182
679	552.5769484
680	551.7832089
681	551.0288567
682	550.7355627
683	550.206464
684	549.9663633
685	549.7108814
686	548.8959256
687	548.6117537
688	548.086929
689	546.6927113
690	545.8945975
691	545.6110161
692	545.3537294
693	544.2857858
694	544.0414297
695	542.9197952
696	542.4932699
697	541.9157158
698	541.6330796
699	541.3145525
700	541.0426572
701	540.5314225
702	539.1071004
703	538.5644694
704	538.0798092
705	536.7865528
706	536.5394547
707	536.0653771
708	535.4906224
709	535.2140487
710	534.9431218
711	534.7124114
712	534.3400141
713	533.7194317
714	533.1995852
715	532.8540424
716	532.0988963
717	531.7570395
718	529.9004147
719	529.1939426
720	528.4693514
721	527.7912832
722	526.3340491
723	526.0591553
724	525.7945048
725	525.4579904
726	524.8508013
727	524.5816244
728	524.369767
729	523.9670045
730	523.7018811
731	522.3266092
732	522.0038388
733	520.4462424
734	520.0798695
735	519.8419694
736	519.5280068
737	519.3112113
738	519.0826284
739	518.4037663
740	518.0039826
741	517.727214
742	517.5086958
743	517.0317374
744	515.8992496
745	515.643255
746	515.3943647
747	515.1333187
748	514.7031748
749	514.4423069
750	514.1747428
751	513.0544065
752	512.8379557
753	511.0845009
754	510.6491947
755	510.1883351
756	509.6882723
757	509.4350839
758	509.0733073
759	507.6742554
760	507.4226533
761	506.4944066
762	505.8649107
763	505.430984
764	504.2756113
765	503.1948415
766	502.7104503
767	502.1293038
768	501.8801905
769	501.5271354
770	501.295706
771	500.0817565
772	499.8531861
773	499.3648961
774	498.3607204
775	497.0664305
776	496.4262051
777	496.1563441
